Time, Temp
29964,253
29975,253
29986,252
29999,252
30010,254
30021,253
30032,251
30044,252
30055,253
30067,252
30078,252
30090,252
30101,252
30112,253
30124,252
30136,252
30147,253
30158,252
30170,252
30181,253
30192,252
30204,252
30216,252
30227,252
30238,252
30249,252
30261,251
30273,251
30284,253
30296,253
30307,252
30318,251
30330,252
30342,252
30353,253
30364,252
30375,253
30387,252
30399,252
30410,252
30422,252
30433,252
30444,252
30455,251
30468,252
30479,252
30490,253
30501,252
30513,251
30524,252
30536,251
30547,251
30559,251
30570,252
30581,252
30593,251
30605,252
30616,252
30627,251
30639,253
30650,251
30662,252
30673,252
30685,251
30696,252
30707,251
30718,251
30731,251
30742,253
30753,253
30765,251
30776,251
